,Sales
1977-04-01,799.0
1977-05-01,807.0
1977-06-01,805.0
1977-07-01,755.0
1977-08-01,808.0
1977-09-01,842.0
1977-10-01,819.0
1977-11-01,829.0
1977-12-01,835.0
1978-01-01,795.0
1978-02-01,791.0
1978-03-01,814.0
1978-04-01,864.0
1978-05-01,857.0
1978-06-01,834.0
1978-07-01,789.0
1978-08-01,756.0
1978-09-01,812.0
1978-10-01,872.0
1978-11-01,798.0
1978-12-01,805.0
1979-01-01,754.0
1979-02-01,723.0
1979-03-01,793.0
1979-04-01,748.0
1979-05-01,727.0
1979-06-01,700.0
1979-07-01,715.0
1979-08-01,729.0
1979-09-01,727.0
1979-10-01,670.0
1979-11-01,597.0
1979-12-01,559.0
1980-01-01,592.0
1980-02-01,541.0
1980-03-01,474.0
1980-04-01,370.0
1980-05-01,469.0
1980-06-01,552.0
1980-07-01,636.0
1980-08-01,659.0
1980-09-01,596.0
1980-10-01,561.0
1980-11-01,562.0
1980-12-01,532.0
1981-01-01,511.0
1981-02-01,510.0
1981-03-01,514.0
1981-04-01,470.0
1981-05-01,467.0
1981-06-01,415.0
1981-07-01,431.0
1981-08-01,378.0
1981-09-01,338.0
1981-10-01,356.0
1981-11-01,382.0
1981-12-01,457.0
1982-01-01,368.0
1982-02-01,365.0
1982-03-01,374.0
1982-04-01,339.0
1982-05-01,384.0
1982-06-01,370.0
1982-07-01,375.0
1982-08-01,407.0
1982-09-01,481.0
1982-10-01,480.0
1982-11-01,554.0
1982-12-01,521.0
1983-01-01,582.0
1983-02-01,562.0
1983-03-01,596.0
1983-04-01,638.0
1983-05-01,664.0
1983-06-01,651.0
1983-07-01,606.0
1983-08-01,572.0
1983-09-01,608.0
1983-10-01,632.0
1983-11-01,644.0
1983-12-01,773.0
1984-01-01,691.0
1984-02-01,696.0
1984-03-01,641.0
1984-04-01,639.0
1984-05-01,615.0
1984-06-01,630.0
1984-07-01,619.0
1984-08-01,567.0
1984-09-01,662.0
1984-10-01,687.0
1984-11-01,597.0
1984-12-01,597.0
1985-01-01,645.0
1985-02-01,682.0
1985-03-01,671.0
1985-04-01,620.0
1985-05-01,678.0
1985-06-01,722.0
1985-07-01,766.0
1985-08-01,726.0
1985-09-01,678.0
1985-10-01,655.0
1985-11-01,733.0
1985-12-01,721.0
1986-01-01,733.0
1986-02-01,728.0
1986-03-01,880.0
1986-04-01,857.0
1986-05-01,789.0
1986-06-01,728.0
1986-07-01,698.0
1986-08-01,621.0
1986-09-01,763.0
1986-10-01,669.0
1986-11-01,707.0
1986-12-01,784.0
1987-01-01,709.0
1987-02-01,732.0
1987-03-01,713.0
1987-04-01,735.0
1987-05-01,651.0
1987-06-01,637.0
1987-07-01,658.0
1987-08-01,657.0
1987-09-01,666.0
1987-10-01,650.0
1987-11-01,625.0
1987-12-01,595.0
1988-01-01,585.0
1988-02-01,663.0
1988-03-01,669.0
1988-04-01,699.0
1988-05-01,684.0
1988-06-01,717.0
1988-07-01,679.0
1988-08-01,688.0
1988-09-01,703.0
1988-10-01,718.0
1988-11-01,628.0
1988-12-01,658.0
1989-01-01,719.0
1989-02-01,622.0
1989-03-01,567.0
1989-04-01,608.0
1989-05-01,656.0
1989-06-01,642.0
1989-07-01,731.0
1989-08-01,697.0
1989-09-01,639.0
1989-10-01,645.0
1989-11-01,684.0
1989-12-01,630.0
1990-01-01,620.0
1990-02-01,591.0
1990-03-01,574.0
1990-04-01,542.0
1990-05-01,534.0
1990-06-01,545.0
1990-07-01,542.0
1990-08-01,528.0
1990-09-01,496.0
1990-10-01,465.0
1990-11-01,493.0
1990-12-01,464.0
1991-01-01,401.0
1991-02-01,482.0
1991-03-01,507.0
1991-04-01,508.0
1991-05-01,517.0
1991-06-01,516.0
1991-07-01,511.0
1991-08-01,526.0
1991-09-01,487.0
1991-10-01,524.0
1991-11-01,575.0
1991-12-01,558.0
1992-01-01,676.0
1992-02-01,639.0
1992-03-01,553.0
1992-04-01,546.0
1992-05-01,554.0
1992-06-01,596.0
1992-07-01,627.0
1992-08-01,636.0
1992-09-01,650.0
1992-10-01,621.0
1992-11-01,614.0
1992-12-01,650.0
1993-01-01,596.0
1993-02-01,604.0
1993-03-01,602.0
1993-04-01,701.0
1993-05-01,626.0
1993-06-01,653.0
1993-07-01,655.0
1993-08-01,645.0
1993-09-01,726.0
1993-10-01,704.0
1993-11-01,769.0
1993-12-01,812.0
1994-01-01,619.0
1994-02-01,686.0
1994-03-01,747.0
1994-04-01,692.0
1994-05-01,691.0
1994-06-01,621.0
1994-07-01,628.0
1994-08-01,656.0
1994-09-01,677.0
1994-10-01,715.0
1994-11-01,646.0
1994-12-01,629.0
1995-01-01,626.0
1995-02-01,559.0
1995-03-01,616.0
1995-04-01,621.0
1995-05-01,674.0
1995-06-01,725.0
1995-07-01,765.0
1995-08-01,701.0
1995-09-01,678.0
1995-10-01,696.0
1995-11-01,664.0
1995-12-01,709.0
1996-01-01,714.0
1996-02-01,769.0
1996-03-01,721.0
1996-04-01,736.0
1996-05-01,746.0
1996-06-01,721.0
1996-07-01,770.0
1996-08-01,826.0
1996-09-01,770.0
1996-10-01,720.0
1996-11-01,771.0
1996-12-01,805.0
1997-01-01,830.0
1997-02-01,801.0
1997-03-01,831.0
1997-04-01,744.0
1997-05-01,760.0
1997-06-01,793.0
1997-07-01,805.0
1997-08-01,815.0
1997-09-01,840.0
1997-10-01,800.0
1997-11-01,864.0
1997-12-01,793.0
1998-01-01,872.0
1998-02-01,866.0
1998-03-01,836.0
1998-04-01,866.0
1998-05-01,887.0
1998-06-01,923.0
1998-07-01,876.0
1998-08-01,846.0
1998-09-01,864.0
1998-10-01,893.0
1998-11-01,995.0
1998-12-01,949.0
1999-01-01,875.0
1999-02-01,848.0
1999-03-01,863.0
1999-04-01,918.0
1999-05-01,888.0
1999-06-01,923.0
1999-07-01,900.0
1999-08-01,893.0
1999-09-01,826.0
1999-10-01,872.0
1999-11-01,863.0
1999-12-01,873.0
2000-01-01,873.0
2000-02-01,856.0
2000-03-01,900.0
2000-04-01,841.0
2000-05-01,857.0
2000-06-01,793.0
2000-07-01,887.0
2000-08-01,848.0
2000-09-01,912.0
2000-10-01,933.0
2000-11-01,880.0
2000-12-01,983.0
2001-01-01,936.0
2001-02-01,963.0
2001-03-01,939.0
2001-04-01,909.0
2001-05-01,885.0
2001-06-01,882.0
2001-07-01,880.0
2001-08-01,866.0
2001-09-01,853.0
2001-10-01,871.0
2001-11-01,924.0
2001-12-01,979.0
2002-01-01,880.0
2002-02-01,948.0
2002-03-01,923.0
2002-04-01,936.0
2002-05-01,978.0
2002-06-01,957.0
2002-07-01,956.0
2002-08-01,1014.0
2002-09-01,1044.0
2002-10-01,1006.0
2002-11-01,1024.0
2002-12-01,1048.0
2003-01-01,999.0
2003-02-01,936.0
2003-03-01,999.0
2003-04-01,1012.0
2003-05-01,1078.0
2003-06-01,1193.0
2003-07-01,1168.0
2003-08-01,1206.0
2003-09-01,1131.0
2003-10-01,1144.0
2003-11-01,1093.0
2003-12-01,1129.0
2004-01-01,1165.0
2004-02-01,1159.0
2004-03-01,1276.0
2004-04-01,1186.0
2004-05-01,1241.0
2004-06-01,1180.0
2004-07-01,1088.0
2004-08-01,1175.0
2004-09-01,1214.0
2004-10-01,1305.0
2004-11-01,1179.0
2004-12-01,1242.0
2005-01-01,1203.0
2005-02-01,1319.0
2005-03-01,1328.0
2005-04-01,1260.0
2005-05-01,1286.0
2005-06-01,1274.0
2005-07-01,1389.0
2005-08-01,1255.0
2005-09-01,1244.0
2005-10-01,1336.0
2005-11-01,1214.0
2005-12-01,1239.0
2006-01-01,1174.0
2006-02-01,1061.0
2006-03-01,1116.0
2006-04-01,1123.0
2006-05-01,1086.0
2006-06-01,1074.0
2006-07-01,965.0
2006-08-01,1035.0
2006-09-01,1016.0
2006-10-01,941.0
2006-11-01,1003.0
2006-12-01,998.0
2007-01-01,891.0
2007-02-01,828.0
2007-03-01,833.0
2007-04-01,887.0
2007-05-01,842.0
2007-06-01,793.0
2007-07-01,778.0
2007-08-01,699.0
2007-09-01,686.0
2007-10-01,727.0
2007-11-01,641.0
2007-12-01,619.0
2008-01-01,627.0
2008-02-01,593.0
2008-03-01,535.0
2008-04-01,536.0
2008-05-01,504.0
2008-06-01,487.0
2008-07-01,477.0
2008-08-01,435.0
2008-09-01,433.0
2008-10-01,393.0
2008-11-01,389.0
2008-12-01,377.0
2009-01-01,336.0
2009-02-01,372.0
2009-03-01,339.0
2009-04-01,337.0
2009-05-01,376.0
2009-06-01,393.0
2009-07-01,411.0
2009-08-01,418.0
2009-09-01,386.0
2009-10-01,396.0
2009-11-01,375.0
2009-12-01,352.0
2010-01-01,345.0
2010-02-01,336.0
2010-03-01,381.0
2010-04-01,422.0
2010-05-01,280.0
2010-06-01,305.0
2010-07-01,283.0
2010-08-01,282.0
2010-09-01,317.0
2010-10-01,291.0
2010-11-01,287.0
2010-12-01,326.0
2011-01-01,307.0
2011-02-01,270.0
2011-03-01,300.0
2011-04-01,310.0
2011-05-01,305.0
2011-06-01,301.0
2011-07-01,296.0
2011-08-01,299.0
2011-09-01,304.0
2011-10-01,316.0
2011-11-01,328.0
2011-12-01,341.0
2012-01-01,335.0
2012-02-01,366.0
2012-03-01,354.0
2012-04-01,354.0
2012-05-01,370.0
2012-06-01,360.0
2012-07-01,369.0
2012-08-01,375.0
2012-09-01,385.0
2012-10-01,358.0
2012-11-01,392.0
2012-12-01,399.0
2013-01-01,446.0
2013-02-01,447.0
2013-03-01,444.0
2013-04-01,441.0
2013-05-01,428.0
2013-06-01,470.0
2013-07-01,375.0
2013-08-01,381.0
2013-09-01,403.0
2013-10-01,444.0
2013-11-01,446.0
2013-12-01,433.0
2014-01-01,443.0
2014-02-01,420.0
2014-03-01,405.0
2014-04-01,403.0
2014-05-01,451.0
2014-06-01,418.0
2014-07-01,402.0
2014-08-01,456.0
2014-09-01,470.0
2014-10-01,476.0
2014-11-01,442.0
2014-12-01,497.0
2015-01-01,515.0
2015-02-01,540.0
2015-03-01,480.0
2015-04-01,502.0
2015-05-01,502.0
2015-06-01,480.0
2015-07-01,506.0
2015-08-01,518.0
2015-09-01,456.0
2015-10-01,482.0
2015-11-01,504.0
2015-12-01,546.0
2016-01-01,509.0
2016-02-01,515.0
2016-03-01,526.0
2016-04-01,571.0
2016-05-01,560.0
2016-06-01,558.0
2016-07-01,639.0
2016-08-01,584.0
2016-09-01,567.0
2016-10-01,577.0
2016-11-01,571.0
2016-12-01,561.0
2017-01-01,585.0
2017-02-01,597.0
2017-03-01,631.0
2017-04-01,589.0
2017-05-01,613.0
2017-06-01,620.0
2017-07-01,565.0
2017-08-01,560.0
2017-09-01,638.0
2017-10-01,627.0
2017-11-01,712.0
2017-12-01,657.0
2018-01-01,622.0
2018-02-01,637.0
2018-03-01,662.0
2018-04-01,637.0
2018-05-01,657.0
2018-06-01,613.0
2018-07-01,617.0
2018-08-01,598.0
2018-09-01,596.0
2018-10-01,552.0
2018-11-01,614.0
2018-12-01,564.0
2019-01-01,637.0
2019-02-01,665.0
2019-03-01,700.0
2019-04-01,664.0
2019-05-01,600.0
2019-06-01,726.0
2019-07-01,661.0
2019-08-01,706.0
2019-09-01,726.0
2019-10-01,706.0
2019-11-01,696.0
2019-12-01,731.0
2020-01-01,774.0
2020-02-01,716.0
2020-03-01,612.0
2020-04-01,570.0
2020-05-01,698.0
2020-06-01,840.0
2020-07-01,979.0
2020-08-01,977.0
2020-09-01,965.0
2020-10-01,965.0
2020-11-01,839.0
2020-12-01,885.0
2021-01-01,923.0
